Time: 2024-06-11 08:28:02, Score: 6 point
Time: 2024-06-11 08:34:03, Score: 6 point
Time: 2024-06-11 08:44:11, Score: 6 point
Time: 2024-06-11 11:26:59, Score: 9 point
6 (2024-06-11 11:27:46)
Time: 2024-06-11 11:36:15, Score: 9 point
Time: 2024-06-11 11:36:56, Score: 9 point
Time: 2024-06-11 11:37:27, Score: 9 point
Time: 2024-06-11 11:37:50, Score: 9 point
Time: 2024-06-11 11:39:11, Score: No score
Time: 2024-06-11 05:34:32, Score: No score
Time: 2024-06-11 05:35:10, Score: No score
Time: 2024-06-11 05:37:37, Score: No score
Time: 2024-06-11 05:38:11, Score: No score
Time: 2024-06-11 05:38:47, Score: 6 point
Time: 2024-06-11 05:39:39, Score: 9 point
Time: 2024-06-11 05:39:51, Score: 10 point
Time: 2024-06-11 05:40:03, Score: 8 point
Time: 2024-06-11 05:40:18, Score: 8 point
Time: 2024-06-11 05:40:26, Score: 10 point
Time: 2024-06-11 06:07:41, Score: 10 point
Time: 2024-06-11 06:08:19, Score: No score
Time: 2024-06-11 06:09:19, Score: No score
Time: 2024-06-11 06:09:36, Score: No score
Time: 2024-06-11 06:10:05, Score: No score
Time: 2024-06-11 06:11:37, Score: No score
Time: 2024-06-11 06:12:16, Score: No score
Time: 2024-06-11 06:13:19, Score: No score
Time: 2024-06-11 06:14:41, Score: No score
Time: 2024-06-11 06:15:23, Score: No score
Time: 2024-06-11 06:15:55, Score: No score
Time: 2024-06-11 06:16:18, Score: No score
Time: 2024-06-11 06:16:29, Score: No score
Time: 2024-06-12 02:25:17, Score: No score
Time: 2024-06-12 02:26:01, Score: No score
Time: 2024-06-12 02:26:22, Score: No score
Time: 2024-06-12 03:05:41, Score: No score
Time: 2024-06-12 04:05:41, Score: No score
Time: 2024-06-12 04:13:20, Score: No score
Time: 2024-06-12 04:19:01, Score: No score
Time: 2024-06-12 04:27:09, Score: No score
Time: 2024-06-12 04:27:48, Score: No score
Time: 2024-06-12 04:28:18, Score: No score
Time: 2024-06-12 04:51:02, Score: No score
